"","pais","hospitales_psiquiatricos","unidades_de_salud ","instalaciones_de_salud"
"1","Afghanistan",0.003,0.012,0.006
"2","Albania",0.068,0.068,0.41
"3","Algeria",0.048,0.068,0.048
"4","Argentina",0.937,1.071,1.72
"5","Azerbaijan",0.114,0.021,0.156
"6","Bangladesh",0.001,0.035,0.055
"7","Belarus",0.2,0.063,0.116
"8","Bolivia (Plurinational State of)",0.075,0.009,0.009
"9","Brazil",0.069,0.115,1.491
"10","Bulgaria",0.167,0.307,0.307
"11","Chile",0.023,0.175,0.839
"12","Colombia",1.988,0.222,0.292
"13","Costa Rica",0.042,0.042,1.706
"14","Côte d'Ivoire",0.009,0.013,0.017
"15","Croatia",0.165,0.519,3.093
"16","Cuba",0.166,0.148,2.932
"17","Ecuador",0.025,0.173,0.242
"18","El Salvador",0.032,0.253,0.729
"19","Eritrea",0.021,0.206,0.227
"20","Estonia",0.152,0.684,14.82
"21","Fiji",0.112,0.336,3.363
"22","Georgia",0.228,0.076,0.683
"23","Ghana",0.011,1.095,2.378
"24","Greece",0.027,0.33,1.346
"25","Grenada",0.936,0.936,10.297
"26","Guatemala",0.006,0.006,1.434
"27","Guyana",0.13,0.13,0.26
"28","Haiti",0.019,0.009,0.131
"29","Iceland",0.303,4.542,3.028
"30","India",0.01,0.03,0.176
"31","Ireland",0.617,0.617,3.83
"32","Japan",8.314,0.45,7.223
"33","Jordan",0.055,0.033,0.513
"34","Kenya",0.002,0.032,0.068
"35","Kyrgyzstan",0.085,0.136,1.159
"36","Liberia",0.022,0.067,0.622
"37","Lithuania",0.136,0.682,3.922
"38","Malaysia",0.013,0.153,0.316
"39","Mexico",0.029,0.006,0.126
"40","Mongolia",0.034,0.47,0.067
"41","Morocco",0.032,0.08,0.371
"42","Mozambique",0.007,0.039,0.768
"43","Myanmar",0.004,0.042,0.073
"44","Nepal",0.021,0.063,0.112
"45","Norway",0.577,0.481,1.308
"46","Pakistan",0.006,0.422,2.3
"47","Panama",0.025,0.277,2.696
"48","Paraguay",0.03,0.03,1.416
"49","Peru",0.01,0.057,0.166
"50","Philippines",0.001,0.083,0.211
"51","Poland",0.125,0.261,3.207
"52","Portugal",0.029,0.288,0.701
"53","Qatar",0.038,0.038,0.344
"54","Republic of Korea",0.358,0.389,1.789
"55","Romania",0.171,0.392,0.911
"56","Rwanda",0.017,0.396,0.404
"57","Samoa",0.516,0.516,12.387
"58","Saudi Arabia",0.079,0.013,0.507
"59","Senegal",0.007,0.027,0.04
"60","Singapore",0.018,0.072,0.217
"61","Slovenia",0.241,0.048,5.832
"62","South Africa",0.116,0.072,0.11
"63","Syrian Arab Republic",0.016,0.016,2.263
"64","Tajikistan",0.035,0.129,0.164
"65","Thailand",0.028,0.151,1.302
"66","Togo",0.013,0.108,0.04
"67","Tonga",0,0.94,0.94
"68","Turkey",0.011,0.455,0.19
"69","Uganda",0.002,0.032,0.942
"70","Ukraine",0.139,0.052,0.049
"71","United Arab Emirates",0.011,0.055,0.524
"72","United States of America",0.189,0.349,0.373
"73","Uzbekistan",0.081,0.013,0.084
"74","Viet Nam",0.043,0.017,0.009
"75","Yemen",0.033,0.026,0.063
"76","Zambia",0.062,0.062,0.205
"77","Zimbabwe",0.025,0.025,0.057
